
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.14.5, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:       55
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:       25

Total number of variables............................:       16
                     variables with only lower bounds:        1
                variables with lower and upper bounds:        8
                     variables with only upper bounds:        0
Total number of equality constraints.................:       12
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190 -5.6338909e+02 5.37e-16 1.80e-06  -8.6 1.35e+01    -  1.00e+00 2.50e-01h  3
 191 -5.6338909e+02 1.34e-15 1.06e-06  -8.6 8.36e+01    -  1.00e+00 1.00e+00h  1
 192 -5.6338909e+02 4.44e-16 1.08e-07  -8.6 8.03e+01    -  1.00e+00 1.00e+00h  1
 193 -5.6338909e+02 1.78e-15 2.02e-06  -8.6 3.47e+01    -  1.00e+00 5.00e-01h  2
 194 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 4.39e+00    -  1.00e+00 1.00e+00H  1
 195 -5.6338909e+02 4.44e-16 1.80e-06  -8.6 1.55e+01    -  1.00e+00 1.00e+00H  1
 196 -5.6338909e+02 8.88e-16 1.06e-06  -8.6 5.75e+01    -  1.00e+00 5.00e-01h  2
 197 -5.6338909e+02 1.69e-15 2.02e-06  -8.6 4.38e+01    -  1.00e+00 2.50e-01h  3
 198 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 2.57e+01    -  1.00e+00 1.00e+00h  1
 199 -5.6338909e+02 1.78e-15 1.80e-06  -8.6 5.28e-01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200 -5.6338909e+02 7.45e-09 2.02e-06  -8.6 4.58e+01    -  1.00e+00 1.00e+00h  1
 201 -5.6338909e+02 6.66e-16 1.08e-07  -8.6 1.58e+02    -  1.00e+00 1.00e+00h  1
 202 -5.6338909e+02 6.44e-16 8.45e-07  -8.6 7.46e+01    -  1.00e+00 1.00e+00h  1
 203 -5.6338909e+02 8.88e-16 1.06e-06  -8.6 3.78e+01    -  1.00e+00 1.00e+00h  1
 204 -5.6338909e+02 6.49e-16 6.90e-07  -8.6 5.49e+01    -  1.00e+00 3.12e-02h  6
 205 -5.6338909e+02 8.88e-16 2.02e-06  -8.6 7.63e+00    -  1.00e+00 1.56e-02h  7
 206 -5.6338909e+02 4.44e-16 2.75e-06  -8.6 8.26e+01    -  1.00e+00 1.00e+00h  1
 207 -5.6338909e+02 8.88e-16 1.06e-06  -8.6 1.23e+02    -  1.00e+00 1.00e+00h  1
 208 -5.6338909e+02 4.44e-16 1.08e-07  -8.6 4.98e+01    -  1.00e+00 1.00e+00H  1
 209 -5.6338909e+02 4.44e-16 1.06e-06  -8.6 4.66e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210 -5.6338909e+02 2.22e-16 1.06e-06  -8.6 1.04e+01    -  1.00e+00 4.88e-04h 12
 211 -5.6338909e+02 7.45e-09 1.41e-07  -8.6 1.14e+02    -  1.00e+00 1.00e+00h  1
 212 -5.6338909e+02 7.45e-09 1.80e-06  -8.6 2.23e+01    -  1.00e+00 5.00e-01h  2
 213 -5.6338909e+02 1.78e-15 3.60e-07  -8.6 5.62e+01    -  1.00e+00 2.50e-01h  3
 214 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 4.11e+01    -  1.00e+00 1.25e-01h  4
 215 -5.6338909e+02 1.78e-15 1.80e-06  -8.6 9.86e+01    -  1.00e+00 1.25e-01h  4
 216 -5.6338909e+02 1.78e-15 1.80e-06  -8.6 3.13e+01    -  1.00e+00 2.50e-01h  3
 217 -5.6338909e+02 1.78e-15 1.52e-07  -8.6 4.52e+00    -  1.00e+00 1.00e+00H  1
 218 -5.6338909e+02 4.44e-16 1.06e-06  -8.6 1.71e+01    -  1.00e+00 1.00e+00h  1
 219 -5.6338909e+02 1.79e-15 2.02e-06  -8.6 4.56e+01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 6.83e+01    -  1.00e+00 1.00e+00H  1
 221 -5.6338909e+02 2.10e-15 1.94e-07  -8.6 8.44e+01    -  1.00e+00 1.00e+00h  1
 222 -5.6338909e+02 8.75e-16 2.02e-06  -8.6 2.13e+01    -  1.00e+00 2.50e-01h  3
 223 -5.6338909e+02 7.61e-16 1.06e-06  -8.6 3.10e+01    -  1.00e+00 5.00e-01h  2
 224 -5.6338909e+02 2.22e-16 2.02e-06  -8.6 2.60e+01    -  1.00e+00 1.25e-01h  4
 225 -5.6338909e+02 1.78e-15 1.06e-06  -8.6 6.81e+00    -  1.00e+00 5.00e-01h  2
 226 -5.6338909e+02 4.44e-16 8.45e-07  -8.6 5.41e+01    -  1.00e+00 1.00e+00H  1
 227 -5.6338909e+02 7.45e-09 1.06e-06  -8.6 4.09e+01    -  1.00e+00 1.00e+00h  1
 228 -5.6338909e+02 4.44e-16 8.45e-07  -8.6 5.90e+01    -  1.00e+00 5.00e-01h  2
 229 -5.6338909e+02 7.45e-09 1.06e-06  -8.6 4.14e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230 -5.6338909e+02 7.45e-09 1.08e-07  -8.6 1.15e+02    -  1.00e+00 1.00e+00h  1
 231 -5.6338909e+02 1.90e-15 8.45e-07  -8.6 1.21e+02    -  1.00e+00 1.00e+00h  1
 232 -5.6338909e+02 9.92e-16 2.02e-06  -8.6 2.58e+01    -  1.00e+00 1.00e+00h  1
 233 -5.6338909e+02 1.78e-15 2.75e-06  -8.6 1.00e+02    -  1.00e+00 1.00e+00H  1
 234 -5.6338909e+02 1.78e-15 1.06e-06  -8.6 9.53e+01    -  1.00e+00 1.00e+00H  1
 235 -5.6338909e+02 1.78e-15 3.33e-07  -8.6 1.14e+02    -  1.00e+00 2.50e-01h  3
 236 -5.6338909e+02 8.69e-16 8.45e-07  -8.6 8.80e+01    -  1.00e+00 5.00e-01h  2
 237 -5.6338909e+02 5.37e-16 1.08e-07  -8.6 1.35e+01    -  1.00e+00 2.50e-01h  3
 238 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 4.06e+01    -  1.00e+00 1.00e+00h  1
 239 -5.6338909e+02 7.45e-09 1.08e-07  -8.6 3.36e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240 -5.6338909e+02 1.33e-15 1.80e-06  -8.6 8.55e+01    -  1.00e+00 1.56e-02h  7
 241 -5.6338909e+02 1.33e-15 2.02e-06  -8.6 8.51e+01    -  1.00e+00 1.00e+00h  1
 242 -5.6338909e+02 5.47e-16 1.98e-07  -8.6 8.18e+01    -  1.00e+00 1.00e+00h  1
 243 -5.6338909e+02 8.88e-16 8.45e-07  -8.6 2.07e+01    -  1.00e+00 1.00e+00H  1
 244 -5.6338909e+02 1.78e-15 2.02e-06  -8.6 1.86e+01    -  1.00e+00 1.00e+00H  1
 245 -5.6338909e+02 1.09e-15 8.45e-07  -8.6 6.06e+01    -  1.00e+00 2.50e-01h  3
 246 -5.6338909e+02 8.88e-16 4.02e-07  -8.6 7.11e+01    -  1.00e+00 2.50e-01h  3
 247 -5.6338909e+02 1.10e-15 1.06e-06  -8.6 4.17e+00    -  1.00e+00 1.00e+00H  1
 248 -5.6338909e+02 2.09e-15 1.06e-06  -8.6 4.56e+01    -  1.00e+00 2.50e-01h  3
 249 -5.6338909e+02 7.45e-09 4.52e-07  -8.6 7.82e+01    -  1.00e+00 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250 -5.6338909e+02 1.33e-15 2.75e-06  -8.6 8.92e+01    -  1.00e+00 2.50e-01h  3
 251 -5.6338909e+02 7.45e-09 3.95e-07  -8.6 9.37e+01    -  1.00e+00 5.00e-01h  2
 252 -5.6338909e+02 7.45e-09 8.45e-07  -8.6 9.64e+00    -  1.00e+00 1.00e+00h  1
 253 -5.6338909e+02 6.81e-16 2.02e-06  -8.6 2.95e+01    -  1.00e+00 5.00e-01h  2
 254 -5.6338909e+02 1.35e-15 1.80e-06  -8.6 1.37e+01    -  1.00e+00 1.00e+00h  1
 255 -5.6338909e+02 1.02e-15 1.80e-06  -8.6 1.40e+01    -  1.00e+00 2.50e-01h  3
 256 -5.6338909e+02 7.45e-09 2.02e-06  -8.6 1.46e+01    -  1.00e+00 1.00e+00h  1
 257 -5.6338909e+02 1.33e-15 1.08e-07  -8.6 4.61e+01    -  1.00e+00 1.00e+00h  1
 258 -5.6338909e+02 1.78e-15 1.08e-07  -8.6 3.11e+01    -  1.00e+00 2.50e-01h  3
 259 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 3.26e+01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260 -5.6338909e+02 2.66e-15 1.06e-06  -8.6 1.86e+01    -  1.00e+00 1.00e+00h  1
Cannot call restoration phase at almost feasible point,
but acceptable point from iteration 259 could be restored.

Number of Iterations....: 260

                                   (scaled)                 (unscaled)
Objective...............:  -9.8548004284698472e+00   -5.6338908569519276e+02
Dual infeasibility......:   8.4522860448448651e-07    4.8320874089773616e-05
Constraint violation....:   1.7763568394002505e-15    1.7763568394002505e-15
Variable bound violation:   6.8722015100775025e-07    6.8722015100775025e-07
Complementarity.........:   2.5059042903759913e-09    1.4326004237650508e-07
Overall NLP error.......:   8.4522860448448651e-07    4.8320874089773616e-05


Number of objective function evaluations             = 707
Number of objective gradient evaluations             = 262
Number of equality constraint evaluations            = 707
Number of inequality constraint evaluations          = 0
Number of equality constraint Jacobian evaluations   = 262
Number of inequality constraint Jacobian evaluations = 0
Number of Lagrangian Hessian evaluations             = 261
Total seconds in IPOPT                               = 0.195

EXIT: Solved To Acceptable Level.
