
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.14.5, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:       55
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:       25

Total number of variables............................:       16
                     variables with only lower bounds:        1
                variables with lower and upper bounds:        8
                     variables with only upper bounds:        0
Total number of equality constraints.................:       12
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  44 -7.3531613e+02 1.33e+00 1.68e+04  -3.8 3.09e+06    -  1.00e+00 1.00e+00f  1
  45 -5.7120519e+02 1.02e-01 1.84e+04  -3.8 2.13e-01  -1.9 1.00e+00 1.00e+00h  1
  46 -5.6390139e+02 2.10e-02 1.41e+03  -3.8 6.36e+05    -  1.00e+00 1.00e+00h  1
  47 -5.6320316e+02 5.01e-06 1.81e-01  -3.8 2.20e-04  -2.4 1.00e+00 1.00e+00h  1
  48 -5.6321324e+02 1.29e-02 1.42e+00  -3.8 3.05e+06    -  1.00e+00 1.25e-01h  4
  49 -5.6321787e+02 1.51e-02 1.97e+00  -3.8 3.17e+06    -  1.00e+00 6.25e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 -5.6322230e+02 1.72e-02 2.30e+00  -3.8 3.23e+06    -  1.00e+00 6.25e-02h  5
  51 -5.6322658e+02 1.91e-02 2.43e+00  -3.8 3.30e+06    -  1.00e+00 6.25e-02h  5
  52 -5.6323073e+02 2.08e-02 2.50e+00  -3.8 3.39e+06    -  1.00e+00 6.25e-02h  5
  53 -5.6329504e+02 7.51e-01 8.20e+01  -3.8 3.49e+06    -  1.00e+00 1.00e+00h  1
  54 -5.6333483e+02 1.01e+00 1.10e+02  -3.8 8.08e+06    -  1.00e+00 1.00e+00h  1
  55 -5.6334798e+02 6.25e-01 6.83e+01  -3.8 1.35e+07    -  1.00e+00 1.00e+00h  1
  56 -5.6335362e+02 4.87e-01 5.32e+01  -3.8 1.67e+07    -  1.00e+00 1.00e+00h  1
  57 -5.6335456e+02 5.30e-02 5.79e+00  -3.8 1.11e+07    -  1.00e+00 1.00e+00h  1
  58 -5.6335471e+02 2.93e-03 3.20e-01  -3.8 2.21e+06    -  1.00e+00 1.00e+00h  1
  59 -5.6335470e+02 3.69e-07 4.03e-05  -3.8 3.97e+04    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 -5.6338868e+02 3.64e+00 3.97e+02  -5.7 6.21e+07    -  1.00e+00 1.00e+00h  1
  61 -5.6338868e+02 3.50e-01 8.21e+01  -5.7 5.60e+09    -  1.00e+00 1.00e+00h  1
  62 -5.6338866e+02 3.87e-02 7.09e+00  -5.7 5.27e+08    -  1.00e+00 1.00e+00h  1
  63 -5.6338868e+02 2.40e-02 2.48e+00  -5.7 4.41e+08    -  1.00e+00 1.00e+00h  1
  64 -5.6338868e+02 4.86e-04 5.54e-02  -5.7 8.56e+07    -  1.00e+00 1.00e+00h  1
  65 -5.6338868e+02 6.94e-08 7.08e-06  -5.7 1.24e+06    -  1.00e+00 1.00e+00h  1
  66 -5.6338907e+02 4.07e+00 4.45e+02  -8.6 6.37e+09    -  1.00e+00 9.41e-01h  1
  67 -5.6338907e+02 1.16e-01 8.83e+02  -8.6 1.34e+11    -  1.00e+00 1.00e+00h  1
  68 -5.6338909e+02 8.89e-04 1.77e+01  -8.6 2.40e+09    -  1.00e+00 1.00e+00h  1
  69 -5.6338909e+02 7.99e-08 5.47e-03  -8.6 3.84e+07    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 -5.6338909e+02 7.45e-09 1.08e-07  -8.6 1.00e+04    -  1.00e+00 1.00e+00h  1
  71 -5.6338909e+02 2.22e-16 1.06e-06  -8.6 6.05e+01    -  1.00e+00 1.00e+00h  1
  72 -5.6338909e+02 4.44e-16 2.75e-06  -8.6 3.36e+01    -  1.00e+00 1.00e+00h  1
  73 -5.6338909e+02 6.51e-16 1.06e-06  -8.6 4.20e+01    -  1.00e+00 1.00e+00h  1
  74 -5.6338909e+02 7.45e-09 1.08e-07  -8.6 2.04e+00    -  1.00e+00 5.00e-01h  2
  75 -5.6338909e+02 7.45e-09 1.80e-06  -8.6 5.75e+01    -  1.00e+00 2.50e-01h  3
  76 -5.6338909e+02 1.78e-15 2.02e-06  -8.6 5.99e+01    -  1.00e+00 1.00e+00h  1
  77 -5.6338909e+02 1.78e-15 1.08e-07  -8.6 4.20e+01    -  1.00e+00 2.50e-01h  3
  78 -5.6338909e+02 1.78e-15 3.52e-07  -8.6 7.65e+01    -  1.00e+00 2.50e-01h  3
  79 -5.6338909e+02 4.44e-16 2.75e-06  -8.6 5.74e+01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 -5.6338909e+02 7.45e-09 2.02e-06  -8.6 1.12e+02    -  1.00e+00 1.00e+00h  1
  81 -5.6338909e+02 1.78e-15 1.94e-07  -8.6 1.19e+02    -  1.00e+00 1.00e+00h  1
  82 -5.6338909e+02 1.53e-15 2.02e-06  -8.6 1.46e+01    -  1.00e+00 1.00e+00h  1
  83 -5.6338909e+02 7.45e-09 1.80e-06  -8.6 5.49e+01    -  1.00e+00 1.00e+00H  1
  84 -5.6338909e+02 8.88e-16 2.97e-06  -8.6 5.39e+01    -  1.00e+00 1.00e+00h  1
  85 -5.6338909e+02 1.33e-15 3.25e-07  -8.6 9.95e+01    -  1.00e+00 5.00e-01h  2
  86 -5.6338909e+02 6.66e-16 2.02e-06  -8.6 1.23e+02    -  1.00e+00 2.50e-01h  3
  87 -5.6338909e+02 2.22e-16 1.80e-06  -8.6 6.88e+00    -  1.00e+00 1.00e+00h  1
  88 -5.6338909e+02 2.22e-16 1.80e-06  -8.6 5.80e+01    -  1.00e+00 1.25e-01h  4
  89 -5.6338909e+02 2.22e-16 1.80e-06  -8.6 2.28e+01    -  1.00e+00 7.81e-03h  8
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 -5.6338909e+02 2.22e-16 1.80e-06  -8.6 5.06e+01    -  1.00e+00 3.12e-02h  6
  91 -5.6338909e+02 2.22e-16 8.60e-07  -8.6 9.30e+01    -  1.00e+00 2.44e-04h 13
  92 -5.6338909e+02 2.22e-16 2.75e-06  -8.6 4.06e+01    -  1.00e+00 5.00e-01h  2
